Place_Id,Place_name,Age,Category,Road_condition,Weather_Condition,Description,Mode_of_Transport,Latitude,Longitude
159,SECTOR - V  ViewPoint,All Ages,"Observation Point, Urban Area",Good,Cloudy,"A designated viewpoint in Sector V, Salt Lake City, Kolkata, offering panoramic views of the surrounding cityscape.","Bus, Taxi ,Metro",22.571,88.4449
160,Culture And Heritage of Bengal,All Ages,Anicent place,Good,Clear,"The cultural heritage of Bengal includes its architecture, festivals, food, and folk arts","Bus, Taxi",22.6027,88.4662
161,Nature Park,Adults ,nature view,Average,Clear,"There are several places to see nature, including parks, picnic spots, and beaches.","Bus, Taxi",22.53672,88.2848
162,Chandraketu's Fort,All Ages,"Archaeological Site, Historical Site",Good,Clear,"Ruins of an ancient fortified city, with archaeological significance.","Bus, Taxi , Auto-rickshaw",22.6797,88.6913
163,Dhanyakuria Gayen Mansion,All Ages,"Heritage Building, Mansion",Good,Clear,"A historic mansion showcasing the architectural grandeur of a bygone era, located in rural Bengal.","Bus, Taxi , Auto-rickshaw",22.7034,88.7572
164,Dhanyakuria Ballav Bari,All Ages,"Heritage Building, Temple Complex",Good,Clear,"A historic temple complex and mansion showcasing the architectural grandeur of a bygone era, located in rural Bengal.","Bus, Taxi , Auto-rickshaw",22.7034,88.7565
165,Baropol Park Dhanyakuri,All Ages,"Park, Recreational Area",Average,Clear,"A park located in the rural area of Dhanyakuri, offering green spaces and recreational facilities.","Bus, Taxi , Auto-rickshaw",22.70975,88.76513
166,Sabuj Sathi Krirangan (Howrah Indoor Stadium),All Ages,"Indoor Stadium, Sports Venue",Average,Clear,"An indoor stadium in Howrah, West Bengal, used for various sports and events.","Bus, Taxi , Auto-rickshaw, Train",22.5817,88.3068
167,Behala Airport,All Ages,"Airport, Aviation Training",Average,Haze,A small airport in Kolkata primarily used for training purposes and non-commercial flights.,"Bus, Taxi , Auto-rickshaw",22.504,88.2943
168,Metropolitan Durga Bari,All Ages,"Temple, Religious Site",Average,Haze,"A Hindu temple dedicated to Goddess Durga, known for its religious significance and celebrations, especially during Durga Puja.","Bus, Taxi , Auto-rickshaw",22.54,88.408
169,Atmosphere,All Ages,floating bridge,Average,Haze,"It is a sky bridge, called Deya, is the world's first residential floating sculpture","Bus, Taxi , Auto-rickshaw",22.63792,88.45364
170,Abanindranath Tagore's Garden House,All Ages,"Heritage House, Garden, Art, Museum (Possible)",Average,Haze,"The former residence and garden of the renowned artist Abanindranath Tagore, possibly preserved as a museum or heritage site.","Bus, Taxi , Auto-rickshaw",22.7051,88.3445
